1.00	1.00	1.00	1.00	1.01	1.05	1.05	1.13	1.62	1.61	1.55	1.54	1.52	1.52
1.06	1.06	1.06	1.05	1.00	1.03	1.02	1.15	1.56	1.51	1.49	1.47	1.45	1.45
1.10	1.10	1.10	1.10	1.04	1.04	1.03	1.14	1.45	1.41	1.40	1.41	1.41	1.41
1.15	1.15	1.15	1.16	1.06	1.02	1.07	1.07	1.36	1.35	1.36	1.36	1.34	1.34
1.17	1.17	1.17	1.15	1.05	1.00	1.00	1.04	1.25	1.28	1.32	1.30	1.29	1.29
1.25	1.25	1.25	1.25	1.05	1.01	1.01	1.06	1.23	1.22	1.24	1.24	1.23	1.23
1.23	1.23	1.23	1.23	1.00	1.02	1.02	1.01	1.16	1.16	1.19	1.19	1.18	1.18
1.27	1.27	1.27	1.25	1.01	1.02	1.03	1.00	1.00	1.09	1.13	1.13	1.13	1.13
1.32	1.32	1.32	1.31	1.05	1.03	1.10	1.03	1.10	1.07	1.09	1.09	1.09	1.09
1.35	1.35	1.35	1.33	1.05	1.08	1.15	1.06	1.11	1.06	1.07	1.06	1.06	1.06
1.33	1.33	1.33	1.33	1.02	1.06	1.20	1.10	1.11	1.05	1.05	1.04	1.05	1.05
1.38	1.38	1.38	1.36	1.06	1.09	1.30	1.21	1.12	1.03	1.03	1.03	1.04	1.04
1.40	1.40	1.40	1.34	1.08	1.13	1.38	1.28	1.09	1.02	1.00	1.00	1.02	1.02
1.42	1.42	1.42	1.38	1.12	1.18	1.48	1.39	1.19	1.02	1.01	1.03	1.03	1.03
1.42	1.42	1.42	1.39	1.07	1.17	1.55	1.43	1.20	1.00	1.00	1.02	1.03	1.03
1.53	1.53	1.53	1.51	1.18	1.26	1.72	1.54	1.27	1.01	1.00	1.01	1.02	1.02
1.48	1.48	1.48	1.49	1.22	1.27	1.80	1.63	1.32	1.02	1.00	1.00	1.00	1.00
1.00	1.00	1.00	1.00	1.00	1.08	1.05	1.20	1.45	1.44	1.42	1.43	1.40	1.40
1.05	1.05	1.05	1.04	1.00	1.07	1.01	1.18	1.34	1.38	1.36	1.37	1.32	1.32
1.09	1.09	1.09	1.08	1.01	1.06	1.02	1.11	1.26	1.29	1.30	1.30	1.28	1.28
1.14	1.14	1.14	1.11	1.03	1.03	1.02	1.09	1.17	1.24	1.24	1.25	1.24	1.24
1.15	1.15	1.15	1.13	1.02	1.00	1.00	1.01	1.12	1.19	1.22	1.22	1.20	1.20
1.21	1.21	1.21	1.17	1.01	1.02	1.03	1.01	1.06	1.14	1.16	1.16	1.15	1.15
1.23	1.23	1.23	1.17	1.00	1.05	1.07	1.01	1.01	1.11	1.14	1.13	1.13	1.13
1.25	1.25	1.25	1.19	1.00	1.06	1.12	1.00	1.00	1.08	1.08	1.09	1.10	1.10
1.29	1.29	1.29	1.21	1.01	1.07	1.21	1.07	1.00	1.06	1.07	1.07	1.07	1.07
1.30	1.30	1.30	1.24	1.03	1.13	1.29	1.11	1.01	1.05	1.06	1.06	1.06	1.06
